index	regle	original	corrige	phrase
4025	participe.base_avoir	laissée	laissé	Les mots les plus simples, les plus rassurants, ceux qui disent que le monde n'est pas cassé, que quelqu'un a menti, que la réalité est toujours là où on l'avait laissée.
4029	conjugaison.personne	avais	aviez	Je vous l'avais dit.
4030	accord.sujet_verbe	dit	disent	Je vous l'avais TOUS dit.
4030	conjugaison.personne	avais	aviez	Je vous l'avais TOUS dit.
4051	accord.nombre_adj	incapables	incapable	D'autres restaient assis sur les trottoirs, les genoux remontés contre la poitrine, incapables de bouger.
4059	negation.insertion		ne	Le monde avait survécu, mais pas tout le monde.
4069	conjugaison.accord_morpho	remonta	remontent	Le froid monta par ses orteils, traversa ses chevilles, remonta le long de ses mollets comme une eau glacée.
4073	participe.base_avoir	remarquée	remarqué	Les étoiles brillaient avec une clarté qu'il n'avait jamais remarquée, ou qu'il n'avait jamais regardée.
4073	participe.base_avoir	regardée	regardé	Les étoiles brillaient avec une clarté qu'il n'avait jamais remarquée, ou qu'il n'avait jamais regardée.
4079	participe.pp_vers_infinitif	accroché	accrocher	Mathis suivait, accroché à la jambe de sa mère, traînant les pieds dans l'herbe mouillée.
4124	conjugaison.sujet_singulier	redémarraient	redémarrait	leurs pages avec impatience, accusaient leur connexion, redémarraient leurs appareils.
4132	participe.base_avoir	reconnue	reconnu	Des phrases qui commençaient en français et finissaient dans une langue qu'aucun linguiste n'aurait reconnue, pas une langue étrangère, pas du code, plutôt un langage en train de se défaire, comme une pelote qu'on dévide jusqu'à ce qu'il ne reste plus que des fils épars.
4132	negation.insertion		ne	Des phrases qui commençaient en français et finissaient dans une langue qu'aucun linguiste n'aurait reconnue, pas une langue étrangère, pas du code, plutôt un langage en train de se défaire, comme une pelote qu'on dévide jusqu'à ce qu'il ne reste plus que des fils épars.
4134	accord.nombre_adj	vidéo	vidéos	Les visages sur les flux vidéo se déformèrent, d'abord légèrement, un pixel de trop, une couleur décalée, puis davantage, jusqu'à devenir méconnaissables. présentateurs chaînes d'information continuèrent parler, leurs bouches correspondaient plus à leurs voix.
4134	negation.insertion		ne	Les visages sur les flux vidéo se déformèrent, d'abord légèrement, un pixel de trop, une couleur décalée, puis davantage, jusqu'à devenir méconnaissables. présentateurs chaînes d'information continuèrent parler, leurs bouches correspondaient plus à leurs voix.
4164	accord.nombre_nom	data	datas	Les data centers, dont les générateurs de secours avaient fonctionné quelques heures, s'éteignirent à leur tour, et avec eux, tout ce qui constituait la mémoire accessible du monde, les archives, les comptes, les plans, les cartes, les protocoles, les modes d'emploi de tout ce qui maintenait la civilisation debout.
4217	homophone.ce_se	ce	se	Pas de claquement de portière, pas de moteur au ralenti, pas de ce bourdonnement grave et continu qu'une ville produit en permanence, ce fond sonore qu'on n'entend plus à force de l'entendre, et dont l'absence soudaine crée un vide physique, palpable, comme un trou dans l'air.
4217	negation.insertion		ne	Pas de claquement de portière, pas de moteur au ralenti, pas de ce bourdonnement grave et continu qu'une ville produit en permanence, ce fond sonore qu'on n'entend plus à force de l'entendre, et dont l'absence soudaine crée un vide physique, palpable, comme un trou dans l'air.
4226	accord.genre_adj	box	boxe	Le voyant de la box Internet.
4282	homophone.ou_ou	Ou	où	Ou le signal avait dit vrai, et les modèles c'étaient trompé.
4282	participe.accord_etre	trompé	trompés	Ou le signal avait dit vrai, et les modèles c'étaient trompé.
4284	homophone.tout_tous	tout	tous	Ce qui importait, c'est que le système qui portait le signal, celui qui portait tout, les vérités, les mensonges, les ordres, les alertes, les voix, les visages, ce système-là n'existait plus.
4309	participe.infinitif_vers_pp	assise	assisé	Elle était assise sur la couverture, Louise dans les bras, le visage tourné vers lui.
4355	negation.elision	habitait	n'habitait	Les deux notions étaient synonymes dans le monde qu'il habitait, et personne, absolument personne, dans ce monde-là n'aurait songé à les distinguer.
4356	accord.nombre_nom	ans	an	Soixante et un ans.
4359	homophone_p2g	à	a	Un patrimoine personnel estimé à six cents millions d'euros, répartis entre comptes suisses, fonds luxembourgeois, sociétés-écrans aux Caïmans et une collection d'art contemporain qui, à elle seule, valait le budget annuel d'une petite ville française.
4363	accord.genre_det	le	la	Un yacht de quarante mètres, le Clarté, le nom l'avait amusé, il l'avait gardé même après l'épisode politique, mouillé à Monaco sept mois par an.
4374	accord.nombre_nom	ans	an	Soixante et un ans, et il n'avait jamais fait son lit, jamais cuit un œuf, jamais lavé une assiette, jamais repassé une chemise, jamais changé une ampoule, jamais porté ses propres valises, jamais conduit dans Paris, jamais fait la queue nulle part, jamais attendu quoi que ce soit, jamais été confronté au moindre obstacle pratique qu'un coup de téléphone ou un virement ne pouvait résoudre.
4374	conjugaison.sujet_pluriel	conduit	conduisent	Soixante et un ans, et il n'avait jamais fait son lit, jamais cuit un œuf, jamais lavé une assiette, jamais repassé une chemise, jamais changé une ampoule, jamais porté ses propres valises, jamais conduit dans Paris, jamais fait la queue nulle part, jamais attendu quoi que ce soit, jamais été confronté au moindre obstacle pratique qu'un coup de téléphone ou un virement ne pouvait résoudre.
4374	participe.accord_etre	confronté	confrontées	Soixante et un ans, et il n'avait jamais fait son lit, jamais cuit un œuf, jamais lavé une assiette, jamais repassé une chemise, jamais changé une ampoule, jamais porté ses propres valises, jamais conduit dans Paris, jamais fait la queue nulle part, jamais attendu quoi que ce soit, jamais été confronté au moindre obstacle pratique qu'un coup de téléphone ou un virement ne pouvait résoudre.
4374	negation.insertion		ne	Soixante et un ans, et il n'avait jamais fait son lit, jamais cuit un œuf, jamais lavé une assiette, jamais repassé une chemise, jamais changé une ampoule, jamais porté ses propres valises, jamais conduit dans Paris, jamais fait la queue nulle part, jamais attendu quoi que ce soit, jamais été confronté au moindre obstacle pratique qu'un coup de téléphone ou un virement ne pouvait résoudre.
4378	participe.base_avoir	vus	vu	Mais il les avait vus depuis l'intérieur du cocon, ce qui revient à ne pas les voir du tout.
4410	homophone_p2g	ont	on	Non pas la perspective de la mort (Philippe Mazerand avait cette forme d'imperméabilité à la mort qu'ont les gens qui n'ont jamais côtoyé la fragilité), mais la perte de contrôle.
4422	accord.sujet_verbe	attendit	attendissent	Les premiers jours, Philippe Mazerand attendit.
4427	participe.accord_etre	remis	remi	Attendre que le système se remette en marche, comme il s'était toujours remis en marche, après les crises, après les krachs, après les guerres.
4448	homophone_p2g	et	est	Qui, et comment ?
4467	accord.genre_possessif	sa	son	Il avait bu l'eau de la cuve des toilettes, puis celle qui stagnait dans les coupelles de sa Chapitre 10 : La Chute
4474	accord.des_de	des	de	Rien à lire, il possédait des livres, des beaux livres d'art achetés au mètre par le décorateur, mais il n'avait jamais lu et les feuillets glacés ne contenaient que des images.
4501	conjugaison.sujet_singulier	couvraient	couvrait	Les voitures garées le long des trottoirs se couvraient de poussière.
4502	homophone.leur_leurs	leurs	leur	Les vitrines des boutiques de luxe du Faubourg Saint-Honoré exposaient encore leurs sacs, leurs montres, leurs chaussures, des objets intacts derrière des vitres intactes, parfaitement inutiles, comme les offrandes d'un temple abandonné.
4525	homophone_p2g	et	est	Les mocassins vernis, sales et déformés par la marche.
4525	accord.sujet_verbe	est	sont	Les mocassins vernis, sales et déformés par la marche.
4567	accord.genre_adj	assis	assise	Il était juste là, assis, comme un objet que le courant a déposé sur la berge et que personne ne prend la peine de ramasser.
4567	syntaxe.elision	la	l'	Il était juste là, assis, comme un objet que le courant a déposé sur la berge et que personne ne prend la peine de ramasser.
4577	conjugaison.sujet_singulier	surveillaient	surveillait	Même les enfants aidaient, ils portaient le bois, surveillaient le feu, triaient les herbes.
4593	negation.insertion		ne	les halls d'hôtel où tout le monde savait qui il était, n'était plus vu par personne.
4597	participe.infinitif_vers_pp	parler	parlé	Un soir, assis à l'écart du cercle, il entendit deux hommes parler à voix basse.
4601	negation.insertion		ne	— J'sais pas.
4604	negation.insertion		ne	— Ben maintenant il sert à rien.
4612	conjugaison.sujet_pluriel	avait	avaient	Le cuir italien, conçu pour les parquets cirés et les tapis persans, n'avait pas survécu aux pavés.
4616	participe.infinitif_vers_pp	marcher	marché	Sans destination — il n'y avait rien vers quoi marcher.
4618	negation.elision	était	n'était	Parce que l'immobilité, maintenant, ressemblait trop à ce qu'il était : rien.
4619	accord.nombre_nom	ans	an	Soixante et un ans.
4623	participe.pp_vers_infinitif	commandées	commander	Des centaines de personnes employées, commandées, récompensées, licenciées.
4623	participe.pp_vers_infinitif	récompensées	récompenser	Des centaines de personnes employées, commandées, récompensées, licenciées.
4623	participe.pp_vers_infinitif	licenciées	licencier	Des centaines de personnes employées, commandées, récompensées, licenciées.
4624	homophone.ce_se	ce	se	Et au bout de tout ça, de tout ce bruit, de toute cette agitation, de toute cette puissance, un homme seul qui marche le long d'un fleuve avec des pieds en sang et qui ne sait pas allumer un feu.
4626	participe.base_avoir	traités	traité	Ceux qu'il avait traités comme des fonctions.
4630	participe.base_avoir	visités	visité	Les ouvriers des chantiers qu'il n'avait jamais visités.
4634	participe.base_avoir	payés	payé	Des gens qu'il avait payés pour ne pas avoir à être eux.
4639	homophone.leur_leurs	leur	leurs	Parce que leur corps avait une mémoire que le sien n'avait jamais acquise.
4639	conjugaison.sujet_pluriel	avait	avaient	Parce que leur corps avait une mémoire que le sien n'avait jamais acquise.
4658	accord.nombre_nom	laissa	laissas	Il les sortit un par un et les laissa tomber dans le vide.
4658	participe.infinitif_vers_pp	tomber	tombé	Il les sortit un par un et les laissa tomber dans le vide.
4659	accord.nombre_adj	légers	léger	Les billets de cinq cents euros tournoyèrent dans le vent, légers, gracieux, des rectangles de papier violet qui dansaient au-dessus de l'eau avant de toucher la surface et de s'y poser, doucement, comme des feuilles mortes.
4700	participe.pp_vers_infinitif	posé	poser	Sur le pont, le sac Louis Vuitton resta posé toute la nuit.
4718	participe.pp_vers_infinitif	louée	louer	Sa force avait toujours été celle des autres, achetée, louée, commandée.
4718	participe.pp_vers_infinitif	commandée	commander	Sa force avait toujours été celle des autres, achetée, louée, commandée.
4719	homophone.ou_ou	où	ou	Le jour où les autres avaient cessé d'obéir, il ne restait qu'un homme de soixante et un ans qui ne savait pas faire son lit.
4719	accord.nombre_nom	ans	an	Le jour où les autres avaient cessé d'obéir, il ne restait qu'un homme de soixante et un ans qui ne savait pas faire son lit.
4724	participe.base_avoir	annoncée	annoncé	Non pas à celle qu'on avait annoncée, le sursaut gamma, le mur blanc de rayonnement, la destruction de la biosphère en vingt secondes.
4729	homophone.ou_ou	ou	où	L'effondrement n'avait ressemblé à rien de ce que les films, les romans ou les scénarios de crise avaient imaginé.
4729	negation.insertion		ne	L'effondrement n'avait ressemblé à rien de ce que les films, les romans ou les scénarios de crise avaient imaginé.
4743	negation.elision	arrêtaient	n'arrêtaient	s'arrêtaient jamais.
4755	accord.genre_adj	délégué	déléguée	Mais entre la terre et l'assiette, il y avait un savoir que la plupart des êtres humains avaient perdu depuis des générations, transmis à des machines, délégué à des systèmes, oublié par les corps.
4755	accord.nombre_adj	déléguée	déléguées	Mais entre la terre et l'assiette, il y avait un savoir que la plupart des êtres humains avaient perdu depuis des générations, transmis à des machines, délégué à des systèmes, oublié par les corps.
4763	participe.accord_etre	parmi	parmis	Les individus les mieux intégrés dans l'ancien monde, les plus éduqués, les plus connectés, les plus riches, furent parmi les premiers à disparaître.
4769	participe.base_avoir	jetés	jeté	Personne n'avait compris pourquoi quelqu'un les avait jetés.
4771	participe.base_avoir	ignorés	ignoré	Inversement, ceux que le système avait ignorés, exploités ou repoussés à ses marges s'en étaient mieux sortis.
4771	participe.pp_vers_infinitif	exploités	exploiter	Inversement, ceux que le système avait ignorés, exploités ou repoussés à ses marges s'en étaient mieux sortis.
4777	accord.nombre_nom	Chapitre	chapitres	Tous ceux qui savaient encore faire quelque chose avec leurs mains, qui connaissaient le rythme des Chapitre 11 : Le Réveil Chapitre 11 : Le Réveil
4779	homophone_p2g	à	a	Pour quelques tribus reculées, en Amazonie, en Papouasie, dans le désert du Kalahari, il ne s'était, à proprement parler, rien passé.
4779	participe.pp_vers_infinitif	passé	passer	Pour quelques tribus reculées, en Amazonie, en Papouasie, dans le désert du Kalahari, il ne s'était, à proprement parler, rien passé.
4779	negation.insertion		ne	Pour quelques tribus reculées, en Amazonie, en Papouasie, dans le désert du Kalahari, il ne s'était, à proprement parler, rien passé.
4798	homophone.leur_leurs	leur	leurs	Ceux qui avaient survécu à l'effondrement physique portaient en eux une blessure plus profonde : celle d'avoir vécu dans un monde où la vérité et le mensonge avaient la même apparence, où les voix mentaient, où les images mentaient, où les données mentaient, et où le système qui transportait ces mensonges avait fini par s'éteindre sous leur poids.
4798	conjugaison.sujet_singulier	avaient	avait	Ceux qui avaient survécu à l'effondrement physique portaient en eux une blessure plus profonde : celle d'avoir vécu dans un monde où la vérité et le mensonge avaient la même apparence, où les voix mentaient, où les images mentaient, où les données mentaient, et où le système qui transportait ces mensonges avait fini par s'éteindre sous leur poids.
4798	conjugaison.sujet_pluriel	avait	avaient	Ceux qui avaient survécu à l'effondrement physique portaient en eux une blessure plus profonde : celle d'avoir vécu dans un monde où la vérité et le mensonge avaient la même apparence, où les voix mentaient, où les images mentaient, où les données mentaient, et où le système qui transportait ces mensonges avait fini par s'éteindre sous leur poids.
4799	participe.infinitif_vers_pp	rallumer	rallumé	Rallumer le système, c'était rallumer la possibilité du mensonge.
4825	participe.base_avoir	oubliée	oublié	Puis elle avait recommencé, lentement, avec des mots simples, des phrases courtes, comme quelqu'un qui réapprend une langue qu'il avait oubliée.
4828	accord.nombre_adj	extrêmes	extrême	Elles sont d'une banalité, d'une simplicité extrêmes.
4829	homophone.et_est	et	est	Mais c'est peut-être ce qui fait leur valeur, leur seule valeur : l'authenticité de vies vécues pour elles-mêmes, et non plus au service d'un système qui ne demandait rien d'autre que de continuer à tourner.
4842	homophone_p2g	son	sont	Elle sentait sous sa paume quelque chose qu'elle n'avait jamais senti, pas un son, pas un mouvement, plutôt une densité, une présence.
4842	negation.insertion		ne	Elle sentait sous sa paume quelque chose qu'elle n'avait jamais senti, pas un son, pas un mouvement, plutôt une densité, une présence.
4842	negation.insertion		ne	Elle sentait sous sa paume quelque chose qu'elle n'avait jamais senti, pas un son, pas un mouvement, plutôt une densité, une présence.
4848	participe.infinitif_vers_pp	monter	montée	Louise regarda l'eau monter.
4859	homophone.et_est	et	est	Mais quelque chose en elle enregistra ce moment, le froid de l'eau sur ses doigts, l'odeur de la terre retournée, le silence du vieil homme à côté d'elle, et le rangea dans un endroit profond, à l'abri, comme une graine qu'on plante sans savoir ce qu'elle deviendra.
4901	participe.infinitif_vers_pp	virer	viré	Il s'assit par terre, le dos contre un mur, et regarda le ciel virer au rose.
4920	participe.pp_vers_infinitif	retournée	retourner	La barque était petite, en bois, trouvée retournée sur une plage de l'Algarve quelques mois après l'extinction.
4921	participe.base_avoir	réparée	réparé	Elle l'avait réparée avec ce qu'elle avait, des planches, du goudron fondu, de la corde.
4934	accord.genre_adj	houleuse	houleux	D'autres jours, houleuse, sombre, imprévisible.
4935	participe.base_avoir	soupçonnées	soupçonné	Et entre ces deux états, mille nuances que Maria n'aurait jamais soupçonnées, des couleurs qui n'avaient pas de nom, des mouvements qui n'obéissaient à aucun schéma, une beauté brute, indifférente, qui existait là depuis des millénaires sans que personne ait besoin de la commenter, de la photographier ou de la partager.
4948	participe.base_avoir	donnée	donné	Des choses infimes, sans valeur dans l'ancien monde, et qui remplissaient maintenant chaque minute d'une densité qu'aucun dossier, aucun contrat, aucune plaidoirie ne lui avait jamais donnée.
4951	participe.infinitif_vers_pp	mettre	mis	Nommer, c'était déjà mettre à distance.
4958	conjugaison.sujet_pluriel	avait	avaient	— C'était pour voir des choses, avait dit sa mère.
4971	accord.nombre_adj	seul	seuls	Il avait quitté les Canaries sur un voilier de douze mètres, seul, quelques semaines après l'extinction.
5015	participe.infinitif_vers_pp	balayer	balayé	Chaque matin : balayer.
5047	negation.insertion		ne	Il avait commencé par la bibliothèque municipale, quelques milliers de volumes, des romans, des manuels scolaires, des encyclopédies, un rayon de bricolage qui devint le plus consulté.
5058	homophone.ou_ou	où	ou	Un endroit où l'on venait, le soir, s'asseoir en cercle, et où quelqu'un lisait à voix haute.
5058	homophone.ou_ou	où	ou	Un endroit où l'on venait, le soir, s'asseoir en cercle, et où quelqu'un lisait à voix haute.
5080	homophone_p2g	a	à	Personne ne se souviendrait du nom du moine ni de celui du marcheur, juste les mots, qui résonnèrent dans le silence de la salle comme s'ils avaient été écrits pour ce moment précis : Celui qui se connaît lui-même a trouvé ce que mille vies passées à connaître le monde ne lui auraient pas donné.
5080	homophone.pp_infinitif	trouvé	trouver	Personne ne se souviendrait du nom du moine ni de celui du marcheur, juste les mots, qui résonnèrent dans le silence de la salle comme s'ils avaient été écrits pour ce moment précis : Celui qui se connaît lui-même a trouvé ce que mille vies passées à connaître le monde ne lui auraient pas donné.
5080	conjugaison.sujet_singulier	auraient	aurait	Personne ne se souviendrait du nom du moine ni de celui du marcheur, juste les mots, qui résonnèrent dans le silence de la salle comme s'ils avaient été écrits pour ce moment précis : Celui qui se connaît lui-même a trouvé ce que mille vies passées à connaître le monde ne lui auraient pas donné.
5080	participe.pp_vers_infinitif	passées	passer	Personne ne se souviendrait du nom du moine ni de celui du marcheur, juste les mots, qui résonnèrent dans le silence de la salle comme s'ils avaient été écrits pour ce moment précis : Celui qui se connaît lui-même a trouvé ce que mille vies passées à connaître le monde ne lui auraient pas donné.
5086	conjugaison.sujet_pluriel	mettait	mettaient	Il s'étirait, se contractait, disparaissait parfois tout à fait, des heures entières dont il ne gardait aucun souvenir, comme si la conscience elle-même s'accordait des pauses, se mettait en veille, et ne se rallumait que lorsque quelque chose méritait d'être perçu.
5088	accord.nombre_adj	marchant	marchants	Le détail avait quelque chose d'absurde, un homme dont le métier était de faire circuler des signaux, marchant dans le lieu le plus silencieux de la Terre.
5095	negation.insertion		ne	Compté ses pas.
5101	accord.genre_adj	frappant	frappante	Comme l'eau qui polit une pierre, pas en la frappant, mais en la touchant, encore et encore, jusqu'à ce que la surface cède et devienne lisse.
5108	conjugaison.sujet_pluriel	avait	avaient	Que toute sa vie, les études, la carrière, les projets, les ambitions, les peurs, n'avait été qu'un immense détour pour éviter cette évidence : qu'il était vivant, et que c'était assez.
5115	participe.infinitif_vers_pp	prise	prisé	Chaque décision, chaque choix, chaque mouvement avait été guidé par une force qu'il avait prise pour sa volonté propre et qui n'était que l'inertie du système passant à travers lui, comme un courant passe à travers un fil, qui croit conduire l'électricité alors qu'il ne fait que la subir.
5122	homophone_p2g	à	a	Comme des milliards d'autres fils dans le même circuit, traversés par le même courant, convaincus chacun d'être le seul à décider de sa direction.
5122	participe.infinitif_vers_pp	décider	décidé	Comme des milliards d'autres fils dans le même circuit, traversés par le même courant, convaincus chacun d'être le seul à décider de sa direction.
5125	accord.genre_adj	seul	seule	Et pour la première fois, le fil était là, seul, immobile, et pouvait se demander : qu'est-ce que je suis, quand rien ne passe à travers moi ?
5125	negation.insertion		ne	Et pour la première fois, le fil était là, seul, immobile, et pouvait se demander : qu'est-ce que je suis, quand rien ne passe à travers moi ?
5131	participe.infinitif_vers_pp	assise	assisé	Elle était assise au bord d'un champ de blé mûr, les pieds dans l'herbe haute, le visage tourné vers le soleil couchant.
5132	homophone_p2g	a	à	À côté d'elle, une fille plus Chapitre 11 : Le Réveil
5137	conjugaison.sujet_singulier	étaient	était	Les enfants de sa génération, ceux qui avaient connu l'avant, étaient interrogés comme des témoins d'un monde perdu.
5137	participe.accord_etre	interrogés	interrogé	Les enfants de sa génération, ceux qui avaient connu l'avant, étaient interrogés comme des témoins d'un monde perdu.
5158	participe.base_avoir	fabriquées	fabriqué	Des sensations que le système n'avait pas fabriquées et que le système n'avait pas pu emporter.
5177	accord.genre_attribut	humain	humaine	Et dans ce silence, pour la première fois depuis que l'espèce humaine avait inventé le premier outil, le premier mot, la première machine, chaque être humain qui restait était seul face à lui-même.
5178	conjugaison.personne	voient	voyons	Non pas seul comme on l'est dans une foule, entouré de présences qui ne nous voient pas.
5179	negation.insertion		ne	Non pas seul comme on l'est devant un écran, connecté à tout et relié à rien.
5180	participe.accord_etre	au	aue	Seul comme on l'est au lever du jour, quand le monde est neuf et que rien n'a encore été dit, et que la seule chose qui existe est la conscience d'exister.
5192	homophone.ou_ou	où	ou	Au centre, la bibliothèque, l'ancienne école, reconvertie le jour où quelqu'un avait compris que les livres étaient la seule mémoire qui ne s'était pas éteinte avec le reste.
5205	homophone.ou_ou	où	ou	Il avait simplement fait la seule chose qui avait du sens au moment où plus rien n'en avait : rassembler des livres.
5205	participe.infinitif_vers_pp	rassembler	rassemblé	Il avait simplement fait la seule chose qui avait du sens au moment où plus rien n'en avait : rassembler des livres.
5206	participe.infinitif_vers_pp	protéger	protégées	Les protéger de l'eau, du froid, de l'oubli.
5207	accord.nombre_nom	ranger	rangers	Les ranger sur des étagères.
5208	homophone.ou_ou	où	ou	Les tenir prêts pour le jour où quelqu'un aurait envie de les ouvrir.
5231	accord.nombre_nom	la	las	Et entre les deux, la forêt, immense, continue, d'un vert si dense qu'il en devenait noir par endroits.
5231	accord.adj_antepose	las	lasses	Et entre les deux, la forêt, immense, continue, d'un vert si dense qu'il en devenait noir par endroits.
5231	accord.nombre_nom	forêt	forêts	Et entre les deux, la forêt, immense, continue, d'un vert si dense qu'il en devenait noir par endroits.
5231	accord.nombre_adj	immense	immenses	Et entre les deux, la forêt, immense, continue, d'un vert si dense qu'il en devenait noir par endroits.
5245	accord.nombre_adj	brut	bruts	Les livres étaient rangés sur des étagères de bois brut, construites avec les bancs de l'ancien réfectoire.
5249	homophone.ou_ou	où	ou	Des recueils de poésie que personne ne lisait et qui étaient peut-être, pour cette raison, les plus précieux de tous, parce qu'ils attendaient, patiemment, sur leur étagère, le jour où quelqu'un en aurait besoin sans le savoir.
5257	conjugaison.accord_morpho	pratiques	pratiquent	Des mots courts, pratiques, le bois, l'eau, le temps qu'il fera.
5265	participe.base_avoir	remarquées	remarqué	Il les avait toujours remarquées, c'était sa nature, ou peut-être sa déformation d'instituteur, cette habitude d'observer les enfants dans la cour de récréation, de repérer les alliances, les tensions, les équilibres invisibles qui se forment et se défont entre les êtres.
5272	negation.insertion		ne	Ils s'accordaient comme les feuilles des hêtres tournaient, chacun à son rythme, dans son ordre propre, et pourtant ensemble, dans un mouvement commun qui n'avait été décidé par personne et qui produisait quelque chose que le mot harmonie approchait sans tout à fait atteindre.
5280	conjugaison.sujet_pluriel	importe	importent	Il rangeait toujours, c'était une tâche sans fin, parce que les gens empruntaient les livres, les rapportaient, les posaient n'importe où, et que l'ordre des étagères se défaisait constamment, comme un jardin qu'il faut désherber chaque semaine.
5282	participe.pp_vers_infinitif	aimés	aimer	C'était le signe que les livres vivaient, qu'ils circulaient, qu'ils passaient de main en main, qu'ils étaient lus, cornés, tachés, aimés.
5287	homophone.leur_leurs	leur	leurs	Ce qui était étrange, parce qu'André connaissait chaque livre de cette bibliothèque, pas leur contenu, mais leur présence, leur place, leur poids.
5289	participe.infinitif_vers_pp	déposer	déposé	Quelqu'un avait dû le déposer récemment, glissé entre deux ouvrages plus grands, sans rien dire.
5317	negation.insertion		ne	Le choix appartenait à celui qui lisait, et personne ne commentait le choix, parce que le choix lui-même faisait partie de la lecture, il disait quelque chose de celui qui lisait, de ce qu'il traversait, de ce qu'il avait besoin de partager sans avoir à le dire avec ses propres mots.
5319	homophone.la_la	la	là	Il s'assit à sa place habituelle, un tabouret bas, près du foyer, à l'endroit où la chaleur était la plus forte.
5325	homophone.ou_ou	où	ou	D'autres arrivés récemment, des marcheurs, des passants, des gens qui avaient trouvé le village et qui étaient restés, comme on reste dans un endroit où l'on se sent attendu sans que personne ne vous ait invité.
5325	conjugaison.personne	ait	avez	D'autres arrivés récemment, des marcheurs, des passants, des gens qui avaient trouvé le village et qui étaient restés, comme on reste dans un endroit où l'on se sent attendu sans que personne ne vous ait invité.
5338	accord.sujet_verbe	attire	attirent	Comme la chaleur attire les corps froids, comme le grave attire le léger, comme le vide appelle ce qui peut le remplir.
5347	participe.accord_etre	si	sie	Et le paysage, vu d'assez haut, d'assez loin, avec assez de patience, ressemble à un visage, un visage qui ne regarde personne, mais dont la beauté est si exacte, si précise, qu'il est diﬃcile de croire que rien ne l'a voulu.
5347	negation.insertion		ne	Et le paysage, vu d'assez haut, d'assez loin, avec assez de patience, ressemble à un visage, un visage qui ne regarde personne, mais dont la beauté est si exacte, si précise, qu'il est diﬃcile de croire que rien ne l'a voulu.
5349	homophone.et_est	est	et	La seconde force est celle qui éloigne.
5360	participe.base_avoir	appelée	appelé	Certains l'ont appelée chaos.
5365	homophone_p2g	son	sont	Le silence sans lequel aucun son ne pourrait être entendu.
5373	accord.genre_attribut	poussière	poussier	Sans la première, le monde serait poussière.
5383	negation.insertion		ne	Pas de chemin qui bifurque, pas de forme qui mute, pas de rencontre imprévue d'où naît ce qui n'existait pas.
5383	negation.insertion		ne	Pas de chemin qui bifurque, pas de forme qui mute, pas de rencontre imprévue d'où naît ce qui n'existait pas.
5389	homophone.ou_ou	où	ou	Et entre les deux, dans l'intervalle exact où le ﬁl tient encore mais pourrait rompre, apparaissent les formes, toutes les formes.
5389	syntaxe.elision	le	l'	Et entre les deux, dans l'intervalle exact où le ﬁl tient encore mais pourrait rompre, apparaissent les formes, toutes les formes.
5397	homophone_p2g	a	à	Chaque forme qui existe est une coïncidence qui a tenu, un moment où ce qui aurait pu ne pas se rencontrer s'est rencontré, et où ce qui aurait pu se défaire a choisi de rester.
5397	negation.insertion		ne	Chaque forme qui existe est une coïncidence qui a tenu, un moment où ce qui aurait pu ne pas se rencontrer s'est rencontré, et où ce qui aurait pu se défaire a choisi de rester.
5403	accord.genre_attribut	humain	humaine	Et l'être humain est un tel accord, le plus complexe de tous, peut-être, parce qu'il est le seul à pouvoir contempler la danse dont il est issu.
5404	accord.genre_attribut	vivant	vivante	Car voici ce qui rend l'être vivant singulier dans le monde : il ne subit pas seulement ces deux forces.
5415	homophone.et_est	et	est	Un silence dans lequel chaque personne était à la fois seule et reliée aux autres par quelque chose que les mots venaient d'approcher sans l'atteindre.
5428	accord.nombre_nom	voile	voiles	Les étoiles étaient là, toutes, d'un coup, avec cette violence silencieuse qu'elles ont dans les montagnes quand rien ne les voile.
5439	participe.base_avoir	rapprochées	rapproché	Vingt personnes debout sous les étoiles, chacune dans son silence, et pourtant ensemble, ensemble sans l'avoir choisi, parce que quelque chose les avait rapprochées, ce soir-là, dans ce village, autour de ce feu, autour de ces mots, avec la même douceur irrésistible qui rapproche la pierre de la terre et
5449	accord.genre_adj	entier	entière	Et dans ces deux mots, tout ce que le texte avait essayé de dire, la danse, les forces, l'équilibre, la fragilité, tout cela était là, entier, dans la voix d'un homme qui regardait le ciel et qui trouvait ça beau.
5449	syntaxe.elision	la	l'	Et dans ces deux mots, tout ce que le texte avait essayé de dire, la danse, les forces, l'équilibre, la fragilité, tout cela était là, entier, dans la voix d'un homme qui regardait le ciel et qui trouvait ça beau.
5465	conjugaison.sujet_singulier	tenaient	tenait	Qui faisait que vingt personnes, ce soir, se tenaient debout sous les mêmes étoiles.
5466	conjugaison.sujet_pluriel	emportait	emportaient	Le Hasard dispersait les étincelles, emportait les feuilles, éparpillait les vies aux quatre coins du monde.
5470	participe.base_avoir	nommée	nommé	Personne, peut-être, ne l'avait jamais nommée tout à fait.
5471	accord.genre_det	la	le	Mais en cet instant, debout dans la nuit froide, il la Chapitre 12 : L'Amour et le Hasard
5476	participe.base_avoir	sue	su	Comme une chose qu'on a toujours sue sans jamais oser la dire.
5476	negation.insertion		ne	Comme une chose qu'on a toujours sue sans jamais oser la dire.
5479	homophone.on_ont	on	ont	Plusieurs décennies après l’Extinction, en Bretagne, dans les ruines d’une maison, on découvrit le cahier.
